iter	Passed	Remaining
0	53	5337
1	91	4492
2	127	4129
3	159	3822
4	175	3333
5	190	2980
6	206	2742
7	222	2561
8	238	2411
9	254	2288
10	269	2178
11	284	2086
12	299	2006
13	316	1941
14	333	1890
15	350	1840
16	365	1785
17	381	1740
18	397	1696
19	414	1656
20	429	1617
21	446	1581
22	462	1549
23	476	1509
24	492	1477
25	508	1447
26	524	1419
27	542	1395
28	558	1368
29	575	1342
30	590	1314
31	606	1288
32	621	1262
33	638	1239
34	654	1214
35	668	1189
36	685	1167
37	701	1145
38	717	1121
39	733	1100
40	749	1078
41	764	1056
42	780	1034
43	796	1013
44	812	992
45	828	972
46	846	954
47	864	936
48	882	918
49	901	901
50	919	883
51	936	864
52	953	845
53	968	824
54	983	804
55	999	785
56	1016	766
57	1034	748
58	1050	730
59	1066	711
60	1081	691
61	1097	672
62	1113	654
63	1130	636
64	1146	617
65	1163	599
66	1185	584
67	1203	566
68	1221	548
69	1239	531
70	1257	513
71	1276	496
72	1294	478
73	1311	460
74	1333	444
75	1352	427
76	1370	409
77	1388	391
78	1402	372
79	1418	354
80	1436	336
81	1458	320
82	1478	302
83	1496	284
84	1513	267
85	1530	249
86	1549	231
87	1565	213
88	1582	195
89	1599	177
90	1616	159
91	1634	142
92	1652	124
93	1668	106
94	1684	88
95	1702	70
96	1719	53
97	1737	35
98	1756	17
99	1773	0
